epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
175,21060.6,1.07353,0.54794,0.91555,0.88362,0.85916,0.92656,0.59499,1.20605,0.60798,0.95743,0.00732492,0.00732492,0.00732492
176,21182.9,1.07484,0.54448,0.91826,0.88306,0.86057,0.92657,0.59492,1.20533,0.60769,0.95727,0.00729725,0.00729725,0.00729725
177,21305,1.06943,0.54538,0.91497,0.88342,0.85983,0.92637,0.59502,1.20474,0.60794,0.95725,0.0072695,0.0072695,0.0072695
178,21427.1,1.0686,0.5431,0.9153,0.88353,0.8601,0.92647,0.59482,1.20481,0.60649,0.95688,0.00724165,0.00724165,0.00724165
179,21548.1,1.06105,0.54214,0.91357,0.88304,0.86014,0.92622,0.59488,1.20464,0.60649,0.95713,0.00721372,0.00721372,0.00721372
180,21669.1,1.06852,0.54292,0.91423,0.88294,0.86045,0.92635,0.59501,1.20467,0.60666,0.95713,0.00718571,0.00718571,0.00718571
181,21789.6,1.0655,0.54178,0.91489,0.88267,0.8606,0.92633,0.59491,1.20494,0.60728,0.95709,0.00715761,0.00715761,0.00715761
182,21910.1,1.07145,0.54644,0.91353,0.88275,0.86122,0.92649,0.59493,1.20455,0.6075,0.95716,0.00712942,0.00712942,0.00712942
183,22031.3,1.06701,0.54281,0.91467,0.88225,0.86087,0.92604,0.59516,1.20358,0.60745,0.95685,0.00710116,0.00710116,0.00710116
184,22152.8,1.05517,0.53896,0.91145,0.88242,0.85968,0.92618,0.59521,1.2042,0.60733,0.95699,0.00707281,0.00707281,0.00707281
185,22274.4,1.0624,0.53776,0.91306,0.88312,0.85995,0.92668,0.59525,1.2044,0.60577,0.95703,0.00704439,0.00704439,0.00704439
186,22396,1.05701,0.53813,0.91386,0.87682,0.8652,0.92657,0.59524,1.20416,0.60707,0.95701,0.00701588,0.00701588,0.00701588
187,22515.7,1.05443,0.53722,0.91205,0.87481,0.86738,0.92629,0.5952,1.20426,0.60769,0.95709,0.0069873,0.0069873,0.0069873
188,22635.5,1.0599,0.53641,0.91247,0.87456,0.86768,0.9264,0.59496,1.20428,0.60536,0.95702,0.00695864,0.00695864,0.00695864
189,22754.6,1.05586,0.5387,0.91247,0.87208,0.86938,0.92657,0.59496,1.20414,0.60528,0.95682,0.00692991,0.00692991,0.00692991
190,22874.5,1.04252,0.53143,0.90961,0.87235,0.86938,0.9264,0.59497,1.20454,0.60533,0.95671,0.0069011,0.0069011,0.0069011
191,22993.4,1.05589,0.53548,0.91037,0.88173,0.85972,0.9262,0.59497,1.20449,0.60588,0.95674,0.00687222,0.00687222,0.00687222
192,23111.7,1.0542,0.53761,0.91149,0.88212,0.85947,0.92636,0.59479,1.20439,0.60484,0.95656,0.00684326,0.00684326,0.00684326
193,23230.4,1.04944,0.53203,0.90866,0.88562,0.85639,0.92613,0.59466,1.20494,0.60462,0.95672,0.00681424,0.00681424,0.00681424
194,23349.4,1.0511,0.53342,0.91314,0.88593,0.85598,0.9263,0.59472,1.20465,0.60571,0.95695,0.00678514,0.00678514,0.00678514
195,23468.6,1.04603,0.53286,0.90968,0.88532,0.85624,0.92639,0.5942,1.20537,0.6046,0.95709,0.00675598,0.00675598,0.00675598
196,23587.6,1.04626,0.52884,0.90961,0.8851,0.8562,0.92651,0.59421,1.20565,0.60341,0.95714,0.00672675,0.00672675,0.00672675
197,23706.6,1.04591,0.53222,0.90973,0.88427,0.85686,0.92671,0.59416,1.20572,0.60377,0.95719,0.00669746,0.00669746,0.00669746
198,23826,1.03996,0.52861,0.90844,0.88333,0.85716,0.92654,0.59416,1.20598,0.60328,0.95716,0.0066681,0.0066681,0.0066681
199,23944.4,1.04697,0.52883,0.90878,0.87534,0.86618,0.92633,0.59437,1.20702,0.60419,0.95722,0.00663867,0.00663867,0.00663867
200,24063,1.0439,0.53008,0.91103,0.87525,0.86582,0.92645,0.59436,1.20714,0.60365,0.95736,0.00660918,0.00660918,0.00660918
201,24183.9,1.03955,0.52731,0.90495,0.87561,0.86618,0.92653,0.5944,1.20729,0.60464,0.95745,0.00657963,0.00657963,0.00657963
202,24302.8,1.04165,0.5278,0.90639,0.882,0.8585,0.92682,0.59454,1.20776,0.60469,0.95773,0.00655002,0.00655002,0.00655002
203,24422.3,1.03199,0.52256,0.90461,0.88312,0.85852,0.92692,0.5944,1.20919,0.60612,0.95802,0.00652036,0.00652036,0.00652036
204,24541.2,1.04005,0.52738,0.90861,0.88125,0.8601,0.92722,0.59469,1.21013,0.60447,0.95828,0.00649063,0.00649063,0.00649063
205,24660.2,1.04053,0.52582,0.90557,0.88279,0.85871,0.92699,0.5944,1.21074,0.60544,0.95854,0.00646085,0.00646085,0.00646085
206,24779.7,1.03643,0.52809,0.90671,0.88282,0.85833,0.92653,0.59447,1.21072,0.60552,0.95863,0.00643101,0.00643101,0.00643101
207,24898.9,1.03559,0.52697,0.90902,0.8835,0.85817,0.92667,0.59442,1.21009,0.60568,0.95885,0.00640111,0.00640111,0.00640111
208,25017.8,1.03294,0.52192,0.90585,0.88311,0.85724,0.92648,0.59427,1.21054,0.60457,0.95915,0.00637116,0.00637116,0.00637116
209,25137,1.02211,0.52014,0.90316,0.88373,0.85577,0.92631,0.59441,1.2105,0.60461,0.95905,0.00634117,0.00634117,0.00634117
210,25256.4,1.02982,0.52137,0.90428,0.88344,0.85608,0.92609,0.59405,1.21047,0.60457,0.95921,0.00631112,0.00631112,0.00631112
211,25375.3,1.02914,0.52042,0.906,0.88248,0.85732,0.92622,0.59414,1.21204,0.60331,0.95945,0.00628101,0.00628101,0.00628101
212,25495.1,1.02697,0.51951,0.90655,0.88372,0.85647,0.92638,0.59451,1.21246,0.60259,0.95965,0.00625087,0.00625087,0.00625087
213,25614.4,1.02834,0.52134,0.90721,0.88395,0.85601,0.92658,0.59412,1.21318,0.60173,0.96009,0.00622067,0.00622067,0.00622067
214,25733.7,1.02207,0.51665,0.90356,0.88384,0.85745,0.92628,0.59401,1.21331,0.60138,0.96032,0.00619043,0.00619043,0.00619043
215,25852.8,1.02368,0.5207,0.90293,0.88395,0.85835,0.92624,0.59373,1.21387,0.60102,0.96052,0.00616014,0.00616014,0.00616014
216,25971.9,1.02724,0.52156,0.90183,0.88338,0.8583,0.92606,0.59357,1.21451,0.60091,0.96067,0.00612981,0.00612981,0.00612981
217,26090.7,1.02581,0.52241,0.90535,0.8833,0.85979,0.9262,0.59379,1.21498,0.60091,0.96083,0.00609944,0.00609944,0.00609944
218,26210.2,1.02533,0.51713,0.89971,0.87141,0.87159,0.92632,0.59379,1.21571,0.60064,0.9612,0.00606902,0.00606902,0.00606902
219,26329.3,1.01617,0.51306,0.90074,0.87375,0.87061,0.9264,0.59399,1.21651,0.6004,0.96153,0.00603856,0.00603856,0.00603856
220,26448.6,1.01119,0.51282,0.90035,0.8748,0.87046,0.92633,0.59383,1.21675,0.60045,0.96165,0.00600807,0.00600807,0.00600807
221,26568.9,1.01959,0.51845,0.90391,0.87466,0.87046,0.92656,0.59363,1.21772,0.60081,0.96185,0.00597754,0.00597754,0.00597754
222,26688.4,1.01188,0.51134,0.90371,0.87458,0.87092,0.92644,0.59352,1.21852,0.60117,0.96216,0.00594697,0.00594697,0.00594697
223,26807.2,1.01117,0.51217,0.90164,0.87415,0.87139,0.92647,0.59376,1.21996,0.60075,0.96313,0.00591636,0.00591636,0.00591636
224,26928.7,1.00709,0.50965,0.90013,0.87311,0.87117,0.92634,0.59357,1.21965,0.60054,0.96307,0.00588573,0.00588573,0.00588573
225,27048.5,1.00817,0.50978,0.90179,0.87402,0.87195,0.92691,0.59406,1.22044,0.5997,0.9633,0.00585505,0.00585505,0.00585505
226,27169.1,1.00778,0.50973,0.90125,0.87556,0.87013,0.92693,0.59361,1.22032,0.59972,0.96337,0.00582435,0.00582435,0.00582435
227,27288.9,1.00659,0.50736,0.89783,0.87585,0.86891,0.92631,0.59395,1.22067,0.59895,0.96344,0.00579362,0.00579362,0.00579362
228,27408.4,1.00815,0.50927,0.90027,0.8752,0.86938,0.92643,0.59383,1.22161,0.5992,0.96354,0.00576285,0.00576285,0.00576285
229,27529.7,0.997,0.50502,0.89895,0.87554,0.8689,0.92655,0.59387,1.22144,0.6003,0.96335,0.00573206,0.00573206,0.00573206
230,27649.7,1.00087,0.50831,0.8976,0.87626,0.86805,0.92672,0.59395,1.22208,0.59955,0.96366,0.00570124,0.00570124,0.00570124
231,27769.1,1.00521,0.50888,0.89969,0.87613,0.86811,0.92663,0.59377,1.22102,0.59978,0.96352,0.0056704,0.0056704,0.0056704
232,27888,0.99819,0.50475,0.8987,0.87431,0.86953,0.92652,0.59387,1.22123,0.5988,0.96343,0.00563953,0.00563953,0.00563953
233,28008.2,0.99636,0.50317,0.89775,0.8739,0.87139,0.92686,0.59388,1.22153,0.5999,0.96317,0.00560864,0.00560864,0.00560864
234,28127.5,0.9941,0.50292,0.89551,0.87462,0.87025,0.92655,0.59388,1.22176,0.5997,0.96313,0.00557773,0.00557773,0.00557773
235,28246.6,0.99813,0.50523,0.89917,0.87679,0.86688,0.92609,0.5938,1.22179,0.59936,0.96345,0.00554679,0.00554679,0.00554679
