epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5054.98,1.2421,0.65167,0.9573,0.87969,0.833,0.91187,0.568,1.24046,0.67449,0.96654,0.00983666,0.00983666,0.00983666
43,5173.9,1.23464,0.64921,0.95969,0.87226,0.83707,0.90948,0.56552,1.2702,0.66421,0.97179,0.00982864,0.00982864,0.00982864
44,5293.49,1.23176,0.64904,0.96189,0.88451,0.82635,0.91044,0.56682,1.23963,0.65869,0.96416,0.00982043,0.00982043,0.00982043
45,5412.68,1.23104,0.64757,0.96251,0.88112,0.83645,0.91368,0.57246,1.24519,0.65815,0.96606,0.00981204,0.00981204,0.00981204
46,5531.89,1.22954,0.64686,0.95935,0.88469,0.82748,0.9102,0.5707,1.23322,0.67219,0.96461,0.00980345,0.00980345,0.00980345
47,5651.84,1.23331,0.64665,0.95763,0.88874,0.82517,0.90911,0.56852,1.24918,0.67038,0.96724,0.00979468,0.00979468,0.00979468
48,5772.62,1.22768,0.64122,0.95623,0.87991,0.83769,0.91142,0.57162,1.23976,0.65697,0.96641,0.00978572,0.00978572,0.00978572
49,5893.54,1.22376,0.64097,0.95525,0.88619,0.83073,0.91295,0.57213,1.21717,0.68064,0.95625,0.00977658,0.00977658,0.00977658
50,6014.75,1.23258,0.64763,0.95941,0.89178,0.82826,0.91477,0.57196,1.23766,0.66499,0.96655,0.00976725,0.00976725,0.00976725
51,6135.6,1.22442,0.63944,0.95625,0.88954,0.83032,0.91263,0.57277,1.23897,0.67858,0.9653,0.00975773,0.00975773,0.00975773
52,6256.88,1.22346,0.64012,0.9553,0.89056,0.82965,0.91377,0.57623,1.22954,0.66808,0.9601,0.00974803,0.00974803,0.00974803
53,6377.26,1.22338,0.64215,0.95589,0.88281,0.83845,0.91507,0.57434,1.23736,0.67199,0.9626,0.00973814,0.00973814,0.00973814
54,6497.34,1.2309,0.64224,0.95755,0.89386,0.82439,0.91491,0.57569,1.23123,0.65828,0.96319,0.00972806,0.00972806,0.00972806
55,6616.56,1.22579,0.63898,0.95647,0.89969,0.82563,0.91543,0.57722,1.24396,0.64291,0.96448,0.0097178,0.0097178,0.0097178
56,6736.15,1.21495,0.63454,0.9532,0.88662,0.83908,0.91566,0.57776,1.22797,0.62877,0.95989,0.00970736,0.00970736,0.00970736
57,6855.41,1.21361,0.63402,0.95556,0.89296,0.83243,0.91491,0.57615,1.24691,0.67622,0.96944,0.00969673,0.00969673,0.00969673
58,6975.8,1.21636,0.63619,0.95454,0.88848,0.83846,0.91657,0.57665,1.22905,0.66042,0.95972,0.00968592,0.00968592,0.00968592
59,7096.42,1.21672,0.63513,0.95512,0.8909,0.83661,0.91722,0.57596,1.22513,0.66925,0.95911,0.00967493,0.00967493,0.00967493
60,7217.08,1.21745,0.63528,0.95422,0.88317,0.84526,0.91738,0.57862,1.22349,0.6519,0.95981,0.00966375,0.00966375,0.00966375
61,7337.58,1.20931,0.63324,0.95182,0.88544,0.83994,0.91658,0.57975,1.20962,0.65769,0.95558,0.00965239,0.00965239,0.00965239
62,7456.94,1.20507,0.62834,0.95273,0.88127,0.84337,0.9183,0.58246,1.21624,0.65643,0.95813,0.00964085,0.00964085,0.00964085
63,7575.35,1.19835,0.62653,0.95101,0.88804,0.84108,0.91824,0.58189,1.20734,0.65556,0.95445,0.00962913,0.00962913,0.00962913
64,7694.73,1.21197,0.63356,0.94872,0.88951,0.83521,0.91732,0.58017,1.20965,0.63445,0.95114,0.00961723,0.00961723,0.00961723
65,7814.6,1.20443,0.62798,0.94947,0.89708,0.83131,0.91839,0.57948,1.22005,0.63606,0.95457,0.00960515,0.00960515,0.00960515
66,7934.09,1.2044,0.625,0.94784,0.89093,0.83847,0.91889,0.58201,1.21433,0.6287,0.95663,0.00959289,0.00959289,0.00959289
67,8053.38,1.20555,0.62687,0.95021,0.88721,0.84047,0.91827,0.5822,1.20288,0.64423,0.94955,0.00958044,0.00958044,0.00958044
68,8172.07,1.21478,0.62877,0.952,0.88033,0.84382,0.91746,0.58355,1.20741,0.64018,0.95245,0.00956782,0.00956782,0.00956782
69,8291.06,1.19287,0.62382,0.94688,0.88526,0.83753,0.91962,0.5832,1.20383,0.63586,0.94726,0.00955502,0.00955502,0.00955502
70,8412.3,1.20121,0.62473,0.95311,0.87994,0.84516,0.91907,0.58093,1.21332,0.6357,0.95296,0.00954205,0.00954205,0.00954205
71,8533.42,1.19845,0.62482,0.94799,0.89206,0.83336,0.91933,0.58129,1.20968,0.63745,0.95648,0.00952889,0.00952889,0.00952889
72,8653.98,1.19983,0.62435,0.94967,0.88185,0.8434,0.91931,0.58229,1.20554,0.63906,0.95515,0.00951556,0.00951556,0.00951556
73,8774.86,1.20302,0.62799,0.94983,0.89321,0.83788,0.92104,0.58281,1.20493,0.63381,0.95248,0.00950206,0.00950206,0.00950206
74,8895.04,1.1927,0.62241,0.94686,0.89048,0.83738,0.91989,0.58441,1.20397,0.63157,0.95041,0.00948837,0.00948837,0.00948837
75,9014,1.1959,0.61725,0.94632,0.89136,0.83738,0.92,0.58521,1.20517,0.63664,0.95141,0.00947452,0.00947452,0.00947452
76,9133.86,1.18669,0.61408,0.94439,0.8886,0.84109,0.92061,0.58504,1.20323,0.64416,0.95272,0.00946048,0.00946048,0.00946048
77,9253.34,1.19155,0.61697,0.94527,0.89148,0.83351,0.91967,0.58612,1.20829,0.64814,0.95423,0.00944628,0.00944628,0.00944628
78,9372.2,1.18235,0.61574,0.94258,0.88525,0.83956,0.92019,0.58533,1.21256,0.64367,0.95515,0.00943189,0.00943189,0.00943189
79,9490.46,1.18604,0.61569,0.94741,0.88681,0.84356,0.92147,0.58683,1.20838,0.63547,0.95243,0.00941734,0.00941734,0.00941734
80,9609.82,1.18388,0.61331,0.9444,0.89057,0.84263,0.92121,0.58783,1.20817,0.62995,0.95451,0.00940262,0.00940262,0.00940262
81,9730.03,1.1857,0.61365,0.94436,0.88922,0.84387,0.9211,0.58682,1.20546,0.62894,0.95298,0.00938772,0.00938772,0.00938772
82,9849.71,1.17992,0.61295,0.94491,0.89339,0.84232,0.92076,0.58558,1.20977,0.62953,0.95252,0.00937265,0.00937265,0.00937265
83,9969.11,1.18617,0.61952,0.94482,0.89903,0.83681,0.92138,0.58581,1.21604,0.62465,0.95727,0.00935741,0.00935741,0.00935741
84,10087.7,1.18241,0.61419,0.94262,0.89533,0.83939,0.92144,0.58473,1.21874,0.6271,0.96066,0.009342,0.009342,0.009342
85,10206.7,1.17924,0.61157,0.94362,0.89907,0.83859,0.92143,0.58546,1.21784,0.61889,0.96034,0.00932642,0.00932642,0.00932642
86,10326.7,1.18513,0.61424,0.94139,0.90381,0.83552,0.92169,0.58503,1.21463,0.6158,0.96062,0.00931067,0.00931067,0.00931067
87,10444.8,1.18011,0.6123,0.94345,0.89699,0.84109,0.92144,0.58582,1.21273,0.61874,0.95772,0.00929476,0.00929476,0.00929476
88,10563.6,1.17768,0.60957,0.94102,0.89781,0.84032,0.9209,0.5858,1.21472,0.6223,0.95793,0.00927867,0.00927867,0.00927867
89,10682.6,1.17153,0.60493,0.94252,0.89663,0.84449,0.9204,0.58586,1.21366,0.62398,0.95685,0.00926242,0.00926242,0.00926242
90,10803.8,1.17653,0.60932,0.94243,0.89487,0.84511,0.92042,0.58647,1.21701,0.62469,0.95801,0.00924601,0.00924601,0.00924601
91,10924.9,1.16666,0.60315,0.93998,0.89466,0.84552,0.92,0.58638,1.21799,0.62416,0.95885,0.00922942,0.00922942,0.00922942
92,11046.5,1.17621,0.60568,0.94102,0.89173,0.85145,0.92002,0.58699,1.21592,0.62591,0.9576,0.00921268,0.00921268,0.00921268
93,11167.5,1.16788,0.6039,0.93976,0.89276,0.84851,0.91954,0.58643,1.21364,0.62142,0.95762,0.00919576,0.00919576,0.00919576
94,11289.4,1.16427,0.6012,0.93947,0.89197,0.84789,0.91999,0.5864,1.21272,0.61641,0.95854,0.00917869,0.00917869,0.00917869
95,11410.8,1.17094,0.60331,0.93773,0.8936,0.84649,0.92064,0.58723,1.2131,0.61254,0.95878,0.00916145,0.00916145,0.00916145
96,11531,1.15972,0.59802,0.94021,0.88928,0.84712,0.92046,0.58761,1.21199,0.61265,0.9583,0.00914405,0.00914405,0.00914405
97,11652.1,1.16947,0.60186,0.94168,0.88596,0.85036,0.92048,0.58752,1.21077,0.61104,0.9577,0.00912649,0.00912649,0.00912649
98,11772.3,1.16371,0.60139,0.93865,0.89151,0.8473,0.92161,0.58869,1.20866,0.6133,0.95666,0.00910876,0.00910876,0.00910876
99,11891.9,1.163,0.60007,0.93859,0.88939,0.85237,0.92204,0.58916,1.20864,0.61007,0.95669,0.00909088,0.00909088,0.00909088
100,12012.5,1.15859,0.59957,0.93951,0.89164,0.84839,0.92188,0.58867,1.20984,0.60646,0.95652,0.00907284,0.00907284,0.00907284
101,12135,1.16343,0.60359,0.93733,0.89016,0.84851,0.92179,0.58931,1.20725,0.60604,0.95549,0.00905463,0.00905463,0.00905463
102,12255.9,1.15927,0.59804,0.93572,0.88692,0.85083,0.92212,0.59014,1.20612,0.60544,0.9546,0.00903627,0.00903627,0.00903627
103,12378,1.15866,0.59612,0.93875,0.89012,0.84777,0.92235,0.59012,1.20674,0.60699,0.95454,0.00901776,0.00901776,0.00901776
104,12499.9,1.1545,0.59246,0.93772,0.88347,0.85454,0.92287,0.58987,1.20605,0.60991,0.95423,0.00899908,0.00899908,0.00899908
105,12621.5,1.15011,0.59076,0.93467,0.88642,0.85268,0.92304,0.58952,1.20599,0.60964,0.95349,0.00898025,0.00898025,0.00898025
106,12740.5,1.15972,0.59443,0.93742,0.88896,0.84959,0.923,0.58995,1.20658,0.60789,0.95411,0.00896127,0.00896127,0.00896127
107,12860.2,1.1512,0.58893,0.93612,0.88454,0.85639,0.92344,0.59063,1.20618,0.60657,0.95445,0.00894213,0.00894213,0.00894213
108,12979.1,1.14947,0.58937,0.93471,0.88619,0.85593,0.924,0.59067,1.20675,0.6092,0.95435,0.00892283,0.00892283,0.00892283
109,13098.5,1.15286,0.59127,0.93568,0.88812,0.85376,0.92368,0.59092,1.20651,0.60681,0.95404,0.00890339,0.00890339,0.00890339
110,13218.4,1.15044,0.59498,0.93472,0.88633,0.85438,0.92381,0.59112,1.20683,0.60533,0.95425,0.00888379,0.00888379,0.00888379
111,13338.3,1.15135,0.58944,0.93737,0.88287,0.85546,0.92359,0.59105,1.20682,0.60383,0.95466,0.00886404,0.00886404,0.00886404
112,13459,1.15522,0.5937,0.93619,0.88396,0.85624,0.92385,0.59072,1.20807,0.60311,0.95472,0.00884414,0.00884414,0.00884414
113,13580.5,1.14577,0.58763,0.93297,0.88223,0.85689,0.92399,0.59045,1.20622,0.60121,0.95456,0.00882409,0.00882409,0.00882409
114,13701.5,1.14711,0.58554,0.93624,0.88223,0.85732,0.92418,0.59082,1.20553,0.59996,0.95437,0.00880389,0.00880389,0.00880389
115,13823,1.14686,0.58956,0.93348,0.88176,0.85771,0.92407,0.5914,1.20336,0.60076,0.95373,0.00878354,0.00878354,0.00878354
116,13943.7,1.14458,0.58571,0.93311,0.88151,0.85796,0.92388,0.59102,1.20398,0.60094,0.95408,0.00876305,0.00876305,0.00876305
117,14062.8,1.14619,0.58783,0.93482,0.88244,0.8575,0.9241,0.5914,1.20311,0.60115,0.95355,0.00874241,0.00874241,0.00874241
118,14183,1.14481,0.58977,0.93078,0.88227,0.85624,0.92363,0.59151,1.20461,0.60127,0.95412,0.00872162,0.00872162,0.00872162
119,14302.7,1.13819,0.58608,0.93454,0.88294,0.85593,0.92371,0.59112,1.20495,0.60287,0.95421,0.00870069,0.00870069,0.00870069
