stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
8250GA00286,998032,Dundrum,,53.292375,-6.245234,,,,
8250GA00291,998033,Balally,,53.286023,-6.236791,,,,
8250GA00292,998033,Balally,,53.28609852,-6.236633856,,,,
8250GA00310,998053,Central Park,,53.27016803,-6.20389942,,,,
8250GA00311,998053,Central Park,,53.27010334,-6.203782184,,,,
8250GA00313,998054,Glencairn,,53.2663249,-6.210132292,,,,
8250GA00314,998054,Glencairn,,53.26626785,-6.209924787,,,,
8250GA00316,998055,The Gallops,,53.261063,-6.205947,,,,
8250GA00317,998055,The Gallops,,53.2611462,-6.205851517,,,,
8250GA00329,998061,Laughanstown,,53.250555,-6.155087,,,,
8220GA00034,998083,Marlborough,,53.34924487,-6.257731582,,,,
8220GA00071,998126,Charlemont,,53.3308339,-6.258737285,,,,
8220GA00083,998028,Beechwood,,53.320929,-6.25475,,,,
8220GA00275,998029,Cowper,,53.316398,-6.253499,,,,
8220GA00279,998030,Milltown,,53.30967,-6.251616,,,,
8220GA00367,998010,Drimnagh,,53.33539132,-6.318285559,,,,
8220GA00369,998011,Goldenbridge,,53.335879,-6.313299,,,,
8220GA00372,998012,Suir Road,,53.33659218,-6.307231258,,,,
8220GA00373,998112,Suir Road,,53.33663752,-6.307259495,,,,
8220GA00409,998021,Abbey Street,,53.34859089,-6.258494272,,,,
8220GA00424,998123,Connolly,,53.351003,-6.250119012,,,,
8220GA00440,998025,Harcourt,,53.333631,-6.26283,,,,
8220GA00459,998090,Broombridge,,53.372272,-6.29767,,,,
8220GA00471,998084,Parnell,,53.35310526,-6.26050348,,,,
8230GA00338,998003,Cookstown,,53.293311,-6.384038,,,,
8230GA00392,998073,Fettercairn,,53.293395,-6.395875,,,,
8230GA00396,998074,Cheeverstown,,53.291084,-6.406574,,,,
8230GA00416,998076,Fortunestown,,53.28431005,-6.424753138,,,,
8230GA00418,998077,Saggart,,53.28464,-6.437787,,,,
8250GA00281,998031,Windy Arbour,,53.301757,-6.250841,,,,
8250GA00297,998035,Stillorgan,,53.27936144,-6.21036734,,,,
8250GA00298,998035,Stillorgan,,53.279503,-6.210316,,,,
8250GA00323,998057,Ballyogan Wood,,53.25506913,-6.184418067,,,,
8250GA00333,998062,Cherrywood,,53.24538769,-6.145822549,,,,
8220GA00058,998024,St. Stephen's Green,,53.33912871,-6.261117488,,,,
8220GA00356,998007,Kylemore,,53.32652,-6.343697,,,,
8220GA00357,998007,Kylemore,,53.3266345,-6.343806646,,,,
8220GA00363,998009,Blackhorse,,53.334196,-6.327515,,,,
8220GA00375,998013,Rialto,,53.337846,-6.297369,,,,
8220GA00386,998016,Heuston,,53.346697,-6.291618,,,,
8220GA00387,998116,Heuston,,53.34668236,-6.291856547,,,,
8220GA00389,998017,Museum,,53.347835,-6.286936,,,,
8220GA00390,998017,Museum,,53.34791536,-6.286955636,,,,
8220GA00398,998018,Smithfield,,53.3471135,-6.278080805,,,,
8220GA00399,998018,Smithfield,,53.3472,-6.278116,,,,
